title         ,image           ,price         ,description          
Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver,https://www.kivano.kg//images/product/113152/1667383603_55712700.jpg,40500 сом,"

Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+128GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115968/1673509466_76517600.jpg,40860 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+128GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 1TB HDD+128GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук HP Pavilion 15-eg2010nr Intel Core i5-1235U 8GB DDR 512GB SSD Intel UHD Graphics FHD W11 Silver,https://www.kivano.kg//images/product/117760/1677142882_75093200.jpeg,70880 сом,"

Ноутбук HP Pavilion 15-eg2010nr Intel Core i5-1235U 8GB DDR 512GB SSD Intel UHD Graphics FHD W11 Silver

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i5-1235U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 512 GB; Вес: от 1.7 кг            "
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 12GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg//images/product/118016/1677670933_81270800.jpg,50390 сом,"

Ноутбук HP 255 G8 AMD Ryzen 5 5500U 12GB DDR4 1TB SSD FHD IPS DOS Gray

        15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 12GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113153/1667385146_23636700.jpg,33160 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115969/1673509559_80281600.jpg,36880 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 16GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg//images/product/118017/1677671018_25870200.jpg,51500 сом,"

Ноутбук HP 255 G8 AMD Ryzen 5 5500U 16GB DDR4 1TB SSD FHD IPS DOS Gray

        15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 16GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115970/1673509633_59658800.jpg,38080 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 24GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg//images/product/118018/1677671094_26172900.jpg,52990 сом,"

Ноутбук HP 255 G8 AMD Ryzen 5 5500U 24GB DDR4 1TB SSD FHD IPS DOS Gray

        15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 24GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113155/1667385281_14197400.jpg,35760 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Asus TUF Gaming A15 FA507RE AMD Ryzen 7-6800H 8GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Mecha Gray,https://www.kivano.kg//images/product/115203/1671178761_58444600.jpg,88830 сом,"

Ноутбук Asus TUF Gaming A15 FA507RE AMD Ryzen 7-6800H 8GB DDR 512GB SSD Nvidia RTX3050Ti 4GB FHD W11 Mecha Gray

        Тип: ноутбук; Операционная система: Windows 11; Процессор: AMD Ryzen 7 6800H (8/16); Объем оперативной памяти: 8GB DDR4; Объем накопителя: 512 GB SSD; Разрешение экрана: 1920x1080; Вес: от 2 кг            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115971/1673509703_18887300.jpg,39470 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Asus ROG Strix G18 G814JZ Intel Core i9-13980HX 64GB DDR5 4TB SSD NVIDIA RTX4080 2K IPS DOS Black,https://www.kivano.kg//images/product/117763/1677143614_49802800.jpg,372170 сом,"

Ноутбук Asus ROG Strix G18 G814JZ Intel Core i9-13980HX 64GB DDR5 4TB SSD NVIDIA RTX4080 2K IPS DOS Black

        18"" IPS 2560x1600 дисплей; процессор Intel Core i9-13980HX; память 64GB DDR5/4TB SSD; видеокарта NVIDIA RTX4080; операционная система DOS            "
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 32GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg//images/product/118019/1677671183_53214600.jpg,55010 сом,"

Ноутбук HP 255 G8 AMD Ryzen 5 5500U 32GB DDR4 1TB SSD FHD IPS DOS Gray

        15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 32GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113156/1667385363_05217200.jpg,37890 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Asus X515FA-EJ186W Intel Core i3-10110U 4GB DDR4 1TB HDD FHD W11 Silver,https://www.kivano.kg//images/product/114436/1669369705_65745700.jpg,31210 сом,"

Ноутбук Asus X515FA-EJ186W Intel Core i3-10110U 4GB DDR4 1TB HDD FHD W11 Silver

        экран 15.6"" 1920х1080 TN~60Hz; процессор Intel Core i3-10110U (2/4) 2100-4100 МГц; память 4GB DDR4; накопитель 1TB HDD; видео Intel Graphics; клавиатура EN-RU; Windows 11            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115972/1673509774_07860600.jpg,41790 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 1TB HDD+256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 2TB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/118020/1677727015_42645300.jpg,78250 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 2TB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 2TB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Asus Zenbook S 13 OLED AMD Ryzen 7-6800H 16GB DDR5 512GB SSD AMD Radeon Graphics 2.8K W10 Ponder Blue,https://www.kivano.kg//images/product/118276/1678331842_04189200.png,129220 сом,"

Ноутбук Asus Zenbook S 13 OLED AMD Ryzen 7-6800H 16GB DDR5 512GB SSD AMD Radeon Graphics 2.8K W10 Ponder Blue

        Диагональ экрана: 13.3"" 2880x1800; Операционная система: Windows 10; Процессор: AMD Ryzen 7-6800H (8/16), частота 3200-4700 МГц; Объем памяти: 16GB DDR5 / 512GB SSD; Видеоконтроллер: AMD Radeon Graphics; Вес: от 1 кг            "
Ноутбук HP 250 G8 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Gray,https://www.kivano.kg//images/product/111877/1665046914_94353700.jpg,36780 сом,"

Ноутбук HP 250 G8 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Gray

        экран 15.6"" IPS 1920х1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8 GB DDR4; накопитель 256 GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 128GB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/112901/1666956605_07937400.jpg,69040 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 128GB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113157/1667385655_07413500.jpg,34090 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115973/1673509892_06228000.jpg,38540 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 1TB HDD+512GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук HP Envy 15-EW0023dx Intel Core i7-1255U 16GB DDR 512GB SSD Intel UHD Graphics FHD W11 Natural Silver,https://www.kivano.kg//images/product/117765/1677144438_05883800.jpg,92060 сом,"

Ноутбук HP Envy 15-EW0023dx Intel Core i7-1255U 16GB DDR 512GB SSD Intel UHD Graphics FHD W11 Natural Silver

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i7-1255U (10/12); Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 16 GB DDR; Объем накопителя SSD: 512 GB; Вес: от 1.7 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 256GB SSD NVIDIA MX450 FHD W11 Silver,https://www.kivano.kg//images/product/118021/1677727395_87499500.jpg,69960 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 256GB SSD NVIDIA MX450 FHD W11 Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 16GB DDR4; накопитель 256GB SSD; видеоадаптер NVIDIA MX450; Windows 11            "
Ноутбук Lenovo IdeaPad 1 14IAU7 Intel Core i3-1215U 4GB DDR 128GB SSD Intel UHD Graphics HD W11 Cloud Grey,https://www.kivano.kg//images/product/118277/1678332876_75700500.jpg,35110 сом,"

Ноутбук Lenovo IdeaPad 1 14IAU7 Intel Core i3-1215U 4GB DDR 128GB SSD Intel UHD Graphics HD W11 Cloud Grey

        Диагональ экрана: 14"" 1366x768; Операционная система: Windows 11; Процессор: Intel Core i3-1215U (6/8) 1200-4400 МГц; Объем памяти: 4GB DDR / 128GB SSD; Видеоконтроллер: Intel UHD Graphics; Вес: от 1.4 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 256GB SSD NVIDIA MX450 FHD W11 Silver,https://www.kivano.kg//images/product/112902/1666956728_01817200.jpg,68110 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 256GB SSD NVIDIA MX450 FHD W11 Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 256GB SSD; видеоадаптер NVIDIA MX450; Windows 11            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113158/1667385727_51539800.jpg,35580 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/115974/1673509960_36620900.jpg,39750 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080~60Hz; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 1TB HDD+512GB SSD; видеоадаптер Intel Graphics; DOS            "
Ноутбук HP 250 G8 27K10EA Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black + сумка,https://www.kivano.kg//images/product/117766/1677144609_31756200.jpg,32980 сом,"

Ноутбук HP 250 G8 27K10EA Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black + сумка

        экран 15.6"" 1366х768 TN~60Hz; процессор Intel Core i3-1005G1 (2/4) 1200-3400 МГц; память 4GB DDR4; накопитель 1000GB HDD; видео Intel Graphics; DOS            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/118022/1677727503_51667300.jpg,72720 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 16GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 16GB DDR4; накопитель 512GB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 256GB SSD Intel UHD Graphics FHD W11 Platinum Grey,https://www.kivano.kg//images/product/118278/1678333059_61249400.jpg,36410 сом,"

Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 20GB DDR 256GB SSD Intel UHD Graphics FHD W11 Platinum Grey

        Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i3-1115G4; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 20 GB DDR; Объем накопителя SSD: 256 GB; Вес: от 1.5 кг            "
Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver,https://www.kivano.kg//images/product/112903/1666956852_00875500.jpg,70880 сом,"

Ноутбук Asus Zenbook Flip Q508UG-212.R7TBL AMD Ryzen 7 5700U 8GB DDR4 512GB SSD NVIDIA MX450 FHD DOS Silver

        экран 15.6"" IPS 1920x1080 сенсорный; процессор AMD Ryzen 5700U (8/16) 1800-4300 MHz; оперативная память 8GB DDR4; накопитель 512GB SSD; видеоадаптер NVIDIA MX450; DOS            "
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg//images/product/113159/1667385795_80517300.jpg,36700 сом,"

Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue

        экран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS            "
